,race_id,dist,place,dog_id,box,split_times,split_margins,run_time
465,449902513,390m,7,2131760047,7,8.83,0.26,23.17
466,449902513,390m,8,1590360012,8,8.84,0.27,23.19
467,449902518,450m,1,238578710,2,6.93,0.17,25.72
468,449902518,450m,2,258684351,3,6.76,0.00,25.81
469,449902518,450m,3,197548318,4,6.85,0.09,26.02
470,449902518,450m,4,115151894,1,6.85,0.09,26.07
471,449902518,450m,5,234331231,6,6.86,0.10,26.18
472,449902518,450m,6,210869901,7,6.94,0.18,26.39
473,449902518,450m,7,1745540009,8,7.01,0.25,26.75
474,449902518,450m,8,212745802,5,6.88,0.12,26.82
475,449902520,650m,1,732920000,5,17.71,0.00,38.18
476,449902520,650m,2,167542429,2,17.85,0.14,38.25
477,449902520,650m,3,1965480001,7,18.13,0.42,38.39
478,449902520,650m,4,141318082,3,18.31,0.60,38.50
